0	0	x
0	300	x
500	300	x
500	0	x
0	0	I1
0	180	I1
180	180	I1
180	0	I1
180	0	I1
180	180	I1
360	180	I1
360	0	I1
360	0	I5
360	80	I5
400	80	I5
400	0	I5
400	0	I5
400	80	I5
440	80	I5
440	0	I5
440	0	I5
440	80	I5
480	80	I5
480	0	I5
0	180	I5
0	260	I5
40	260	I5
40	180	I5
40	180	I5
40	260	I5
80	260	I5
80	180	I5
80	180	I5
80	260	I5
120	260	I5
120	180	I5
120	180	I2
120	250	I2
240	250	I2
240	180	I2
240	180	I2
240	250	I2
360	250	I2
360	180	I2
360	180	I2
360	250	I2
480	250	I2
480	180	I2
0	0	S1
0	180	S1
500	180	S1
500	0	S1
0	180	S5
0	260	S5
500	260	S5
500	180	S5
